 ROC-integ, Separation, Significance, Variables
 0.676,0.110,0.311, ptSumOther_ptAsymJJMax, ptSumOther_mOtherMin
 0.681,0.116,0.312, ptSumOther_ptAsymJJMax, ptSumOther_etaOtherMax
 0.690,0.124,0.332, ptSumOther_ptAsymJJMax, mOther_dEtaJJMax
 0.685,0.116,0.324, ptSumOther_ptAsymJJMax, ptSumOther_ptOtherMin
 0.688,0.124,0.329, ptSumOther_ptAsymJJMax, ptSumOther_dRJJMin
 0.694,0.126,0.345, ptSumOther_ptAsymJJMax, ptLeadOther_sumPtJJMax
 0.694,0.126,0.345, ptSumOther_ptAsymJJMax, ptLeadOther_ptSumOtherMin
 0.694,0.126,0.345, ptSumOther_ptAsymJJMax, ptLeadOther_ptLeadOtherMin
 0.690,0.124,0.323, ptSumOther_ptAsymJJMax, sumPtJJ_ptLeadOtherMax
 0.681,0.109,0.310, ptSumOther_ptAsymJJMax, ptSumOther_mJJMax
 0.694,0.122,0.339, ptSumOther_ptAsymJJMax, mOther_dRJJMax
 0.685,0.118,0.321, ptSumOther_ptAsymJJMax, ptSumOther_pOtherMax
 0.703,0.135,0.390, ptSumOther_ptAsymJJMax, min_dr_jets
 0.703,0.135,0.390, ptSumOther_ptAsymJJMax, dRJJ_dRJJMin
 0.720,0.165,0.438, ptSumOther_ptAsymJJMax, numHiggsLike_dijet_15_float
 0.686,0.122,0.314, ptSumOther_ptAsymJJMax, ptSumOther_ptLeadOtherMax
 0.686,0.119,0.324, ptSumOther_ptAsymJJMax, ptSumOther_ptAsymJJMin
 0.709,0.141,0.399, ptSumOther_ptAsymJJMax, higgsLike_dijet_mass
 0.725,0.162,0.459, ptSumOther_ptAsymJJMax, dRJJ_ptJJMax
 0.685,0.119,0.334, ptSumOther_mOtherMax, ptSumOther_dEtaJJMax
 0.677,0.119,0.338, ptSumOther_mOtherMax, sum_pt
 0.686,0.118,0.339, ptSumOther_mOtherMax, ptSumOther_ptOtherMax
 0.677,0.114,0.327, ptSumOther_mOtherMax, ptSumOther_pOtherMin
 0.681,0.116,0.321, ptSumOther_mOtherMax, ptSumOther_etaOtherMin
 0.684,0.117,0.317, ptSumOther_mOtherMax, ptSumOther_dPhiJJMax
 0.675,0.114,0.318, ptSumOther_mOtherMax, ptSumOther_pzJJMax
 0.675,0.114,0.318, ptSumOther_mOtherMax, ptSumOther_pzOtherMin
 0.682,0.117,0.325, ptSumOther_mOtherMax, ptSumOther_sumPtJJMax
 0.682,0.117,0.325, ptSumOther_mOtherMax, ptSumOther_ptSumOtherMin
 0.682,0.117,0.325, ptSumOther_mOtherMax, ptSumOther_ptLeadOtherMin
 0.677,0.110,0.336, ptSumOther_mOtherMax, ptSumOther_sumPtJJMin
